Date,Price,Open,High,Low,Volume,Change,Trend,Seasonal,Residual,rsi,mfi,adi,vpt,atr,bb,MovingAverage30,MovingAverage50,MovingAverage100,MovingAverage200,VAR_Price,VAR_Open,VAR_High,VAR_Low,VAR_Change,Kalman
2017-01-01,-1.27500370079439,-1.281313594794565,-1.2646781014241228,-1.3044797832648294,-0.7881366766678273,0.6775743954951308,0.0,0.9187189520023384,0.0,0.0,-3.4927895118026404,0.11120684223925077,-1.8438728201772174,-0.007758393288752617,0.0,0.0,0.0,0.0,0.0,-1.6875515085494506,-28.84712149123513,-17.604014670067176,-14.241013989596874,0.69887575854525,-1.3808910504626957
2017-01-02,-1.2689407716553553,-1.2723403207722719,-1.2565935089064577,-1.294294885544991,-0.6534999183146954,0.4181462847217255,0.0,1.243006661340162,0.0,0.0,0.5197681132259145,0.1573869088906983,-1.759247885698123,-0.0671282892239754,-1.2179765730663947,0.0,0.0,0.0,0.0,0.2071321357851464,0.03501533613133741,0.06956776702869848,-0.09472618971653435,0.33271378004852836,-1.2840494495303738
2017-01-03,-1.264365505684695,-1.266283360807224,-1.2555728626749916,-1.2894264446994377,-0.7109751059141837,0.2906686785658282,0.0,1.160253844275439,0.0,0.0,1.3738191607773511,0.25103027955819157,0.14072480246300886,-0.12440538207049862,-1.2142581617273427,0.0,0.0,0.0,0.0,-0.16982256001916488,0.03480573245811359,0.009783680121011629,-0.11752845855201564,0.18597478661011888,-1.2654180143293274
2017-01-04,-1.2357069378562031,-1.261712599352118,-1.2252220668445544,-1.2847073425301283,-0.13690207071772076,2.142448641672548,0.0,1.2223323950157918,0.0,0.0,2.205570305106105,0.8448235972509223,0.9105321489176684,-0.1608891543319766,-1.1881024415908585,0.0,0.0,0.0,0.0,1.0870461091579204,0.03471531838397471,0.3291809842322297,-0.14089468295051205,2.03993098198723,-1.2458841836617514
2017-01-05,-1.2767159168938393,-1.233082246924739,-1.2246580255061128,-1.3288518552278445,0.3368156664457773,-2.9432369091785153,0.0,1.2402552855742983,0.0,0.0,-0.18088000479359242,0.3528801735431937,-0.8320071241945661,-0.16900928092480533,-1.1918715471370829,0.0,0.0,0.0,0.0,1.1656923028319226,0.03613849787936334,-0.03187621400070447,-0.7232787444414507,-2.895325880694755,-1.2769962544643156
2017-01-06,-1.3056551758861754,-1.2740508511327713,-1.2577484506946954,-1.335422756982579,0.07817732224808045,-2.3997797460928476,0.0,0.2943338082994986,0.0,0.0,-0.9667224881973687,-1.0241553469492977,-2.7899908837217917,-0.19393882734714685,-1.1879329694063383,0.0,0.0,0.0,0.0,-0.38971557034023013,0.03106942152293368,-0.1503680134036386,-0.4337884317005521,-2.8425647016724995,-1.3027836504945736
2017-01-07,-1.3048973097437961,-1.3029616183733472,-1.2917252265579728,-1.3491021797265261,-0.28177801111367484,0.00216672779195519,0.0,0.1969096792136962,0.0,0.0,-0.4512435335510781,-0.24409688800625784,-1.0737891450276342,-0.23095455858137695,-1.1891107244846677,0.0,0.0,0.0,0.0,-0.708961489635101,0.031850661017808576,-0.1442479291306589,-0.29869569037217264,-0.37700841939341606,-1.3053253639302165
2017-01-08,-1.301529015777666,-1.3022044983777163,-1.2822708193612347,-1.32846357466961,-0.58584211873892,0.23475744779569777,0.0,-0.12437030043783753,0.0,0.0,-0.19597746484130998,0.3590127642129497,0.09402608494206842,-0.27115142402063236,-1.1917411878927304,0.0,0.0,0.0,0.0,-0.5320105337800004,0.03418347848987419,0.06967609220131893,-0.15943604085960397,0.09301834701374709,-1.3032035562372566
2017-01-09,-1.3018377760578943,-1.2988395206193564,-1.2891467518679534,-1.329927093696801,-0.6669070240834737,-0.09400058913266914,0.0,0.05777124420245234,0.0,0.0,-0.38156442641531874,-0.029391660376856168,0.06799415168007183,-0.31203401341853515,-1.1942946422178138,0.0,0.0,0.0,0.0,-0.20586198274449488,0.034567794087436286,-0.030486553129661566,-0.16482466072858362,-0.22478311127281797,-1.3034566835838368
2017-01-10,-1.3005465967042114,-1.2991479769138725,-1.2889318789771183,-1.3241924885290326,-0.7170846730999559,0.04689571240805953,0.0,-0.006302646656334677,0.0,0.0,-0.22480914011286807,0.1496686843982385,0.0260960406695148,-0.3531581321997827,-1.1967493996968304,0.0,0.0,0.0,0.0,-0.16860384624256078,0.03429180055863664,-0.014000318056565148,-0.15732723594720366,-0.11285018920409301,-1.30576964827374
2017-01-11,-1.33394884520167,-1.297858068773168,-1.2872128958504387,-1.365559301848611,0.07902587324610442,-3.008093936871867,0.0,-0.6330687034473536,0.0,0.0,-0.6576878202850431,-0.6659128935947275,-1.3733253637926448,-0.36644631349506696,-1.1947606584912798,0.0,0.0,0.0,0.0,1.5198724180702463,0.03448688129437691,0.007129148562812632,-0.5645914199680072,-3.1747724941980158,-1.3304426239206049
