,0
0,6498.713226717104
1,6578.769027308838
2,6645.079251464885
3,6703.780812006747
4,6757.487283293422
5,6807.600371835469
6,6854.974989743323
7,6900.177873980841
8,6943.607471119153
9,6985.556458521406
10,7026.247252789623
11,7065.853529365431
12,7104.513949796303
13,7142.341289538212
