Date,Price
2018-12-01,
2018-12-02,4166.681417290285
2018-12-03,3913.850687139799
2018-12-04,4010.5101648849427
2018-12-05,3824.192645976528
2018-12-06,3582.159216314425
2018-12-07,3529.745235787145
2018-12-08,3557.2235284929316
2018-12-09,3706.183892024907
2018-12-10,3585.7313654050713
2018-12-11,3547.1756802618847
2018-12-12,3621.3246526996454
2018-12-13,3463.945466876629
2018-12-14,3415.182488971477
2018-12-15,3410.2945196643204
2018-12-16,3439.6617313811694
2018-12-17,3738.57853219422
2018-12-18,3860.4367299481764
2018-12-19,3866.4856987018366
2018-12-20,4276.620061143119
2018-12-21,4002.517555800768
2018-12-22,4148.2077587590475
2018-12-23,4123.3950543237315
2018-12-24,4217.060306595347
2018-12-25,3938.889441950698
2018-12-26,4006.968596883379
2018-12-27,3794.5209651304053
2018-12-28,4117.23158387378
2018-12-29,3929.6176892158023
2018-12-30,4066.0895745821526
2018-12-31,3949.3577463753745
2019-01-01,4074.002371999837
2019-01-02,4139.07188348464
2019-01-03,4037.2159524377116
2019-01-04,4078.2305110445686
2019-01-05,4064.9975576011484
2019-01-06,4309.116328020108
2019-01-07,4270.630568835674
2019-01-08,4261.1553862563
2019-01-09,4277.5831586820195
2019-01-10,3881.083787667684
2019-01-11,3943.9251319099526
2019-01-12,3932.6680856201356
2019-01-13,3824.7393547057222
2019-01-14,4007.1221520551253
2019-01-15,3923.779445011676
2019-01-16,3955.0339070753166
2019-01-17,4002.784058894323
2019-01-18,3981.774815953038
2019-01-19,4070.4253362116347
2019-01-20,3918.7927943573695
2019-01-21,3934.487913884588
2019-01-22,3991.916781597896
2019-01-23,3972.85567791198
2019-01-24,3995.6210826980296
2019-01-25,3998.4378564782405
2019-01-26,4004.1163350255715
2019-01-27,3993.87111466083
2019-01-28,3875.56634546754
2019-01-29,3864.406856110213
2019-01-30,3927.258477074434
2019-01-31,3902.915610028076
2019-02-01,3946.751717474703
2019-02-02,3989.252227388705
2019-02-03,3941.813641136405
2019-02-04,3957.615462589756
2019-02-05,3970.811704986171
2019-02-06,3903.35250107713
2019-02-07,3910.3093020743017
2019-02-08,4223.1231257104255
2019-02-09,4195.565144488007
2019-02-10,4219.142980203921
2019-02-11,4169.477965409146
2019-02-12,4182.412945209244
2019-02-13,4166.450203287655
2019-02-14,4154.317999568288
2019-02-15,4178.074385410699
2019-02-16,4197.957480581631
2019-02-17,4258.482004289692
2019-02-18,4528.884553568872
2019-02-19,4526.5818186928755
2019-02-20,4595.722434930177
2019-02-21,4554.028345583586
2019-02-22,4598.57294802905
2019-02-23,4783.288761626153
2019-02-24,4348.042185348172
2019-02-25,4489.843841995434
2019-02-26,4464.627127886341
2019-02-27,4479.661734392382
2019-02-28,4489.321997407847
2019-03-01,4502.889731916007
2019-03-02,4511.224057584493
2019-03-03,4502.566136937334
2019-03-04,4401.080798741223
2019-03-05,4588.880290221477
2019-03-06,4586.162910905333
2019-03-07,4605.656389161617
2019-03-08,4600.64310497002
2019-03-09,4702.920561868613
2019-03-10,4665.965676679718
2019-03-11,4622.92778165889
2019-03-12,4655.731511006508
2019-03-13,4637.1613756949955
2019-03-14,4664.336166385182
2019-03-15,4725.2393038861255
2019-03-16,4825.95148284838
2019-03-17,4792.50573086132
2019-03-18,4813.139634414196
2019-03-19,4852.745760415467
2019-03-20,4886.567513431441
2019-03-21,4819.816091120989
2019-03-22,4845.348108107007
2019-03-23,4868.002525691362
2019-03-24,4865.109109671469
2019-03-25,4803.818081198963
2019-03-26,4826.844103798643
2019-03-27,4956.388460244845
2019-03-28,4931.607147628217
2019-03-29,5034.674340588231
2019-03-30,5044.652605828673
2019-03-31,5039.10648113399
2019-04-01,5101.340384433982
2019-04-02,5983.759137891297
2019-04-03,6022.18050265647
2019-04-04,5925.961372815921
2019-04-05,6072.575025494385
2019-04-06,6112.649623879998
2019-04-07,6271.108813260089
2019-04-08,6350.567132463832
2019-04-09,6244.692085141754
2019-04-10,6446.955209445698
2019-04-11,6092.875622444178
2019-04-12,6176.923158929564
2019-04-13,6184.095899132432
2019-04-14,6296.646852163983
