Date,Price,lstm0,lstm1,lstm2,lstm3,lstm4,lstm5,lstm6,lstm7,lstm8,lstm9,lstm10,lstm11,lstm12,lstm13,lstm14,lstm15,lstm16,lstm17,lstm18,lstm19
2018-04-05,6782.0,6892.6474609375,6817.826171875,6859.63916015625,7993.69580078125,6736.205078125,7022.92724609375,8338.06640625,6761.0654296875,6789.677734375,6855.24365234375,6716.68896484375,8433.2333984375,8360.650390625,6913.31005859375,8149.2158203125,6671.458984375,6919.53955078125,8030.6875,7035.12939453125,6632.97802734375
2018-04-06,6624.3,6925.697265625,6816.943359375,6899.9736328125,7977.5322265625,6842.38818359375,6995.0458984375,8498.79296875,6883.501953125,6770.00439453125,6977.205078125,6930.30615234375,8492.58203125,8587.041015625,7189.17822265625,8291.3828125,6555.3271484375,7018.30224609375,8061.078125,7137.1494140625,6703.3359375
2018-04-07,6905.7,6947.7177734375,6877.06640625,6964.22265625,8194.912109375,6918.794921875,6944.462890625,8679.25390625,6955.498046875,6865.00341796875,7148.767578125,6949.28173828125,8637.208984375,8678.107421875,7186.42138671875,8358.5283203125,6539.03369140625,7132.72412109375,8228.580078125,7169.67236328125,6746.32958984375
2018-04-08,7030.5,7004.2685546875,6987.091796875,7067.14306640625,8574.9990234375,7055.6318359375,6904.2255859375,8725.8642578125,6985.77099609375,6890.41162109375,7240.8603515625,6950.50830078125,8756.2138671875,8765.4072265625,7217.78466796875,8414.7666015625,6567.81103515625,7157.84375,8411.83203125,7226.02587890625,6750.126953125
2018-04-09,6781.9,6946.49853515625,7096.06494140625,7202.10302734375,8817.1669921875,7161.48291015625,6999.47998046875,8754.8125,6939.248046875,6990.05419921875,7350.49658203125,6863.177734375,8838.6162109375,8844.4248046875,7356.7470703125,8576.2724609375,6673.048828125,7295.599609375,8636.6796875,7314.087890625,6795.3505859375
2018-04-10,6854.8,6966.4482421875,7304.5498046875,7344.2294921875,8978.5595703125,7311.24072265625,7319.841796875,8753.833984375,7302.1796875,7222.56640625,7431.5458984375,7025.07958984375,8907.78125,8841.1982421875,7495.31884765625,8757.6650390625,7040.26513671875,7431.92236328125,8814.57421875,7585.65478515625,7059.02685546875
2018-04-11,6962.1,7262.80517578125,7561.55224609375,7477.60546875,9162.6591796875,7438.1689453125,7845.115234375,8764.3564453125,7871.11865234375,7548.00390625,7536.7822265625,7740.3662109375,8976.4033203125,8874.2138671875,7602.7509765625,8884.677734375,7433.64990234375,7568.59765625,8947.0263671875,7959.6123046875,7387.38671875
2018-04-12,7926.6,7654.53125,7840.3271484375,7627.4677734375,9367.1826171875,7536.84228515625,8186.00341796875,8757.2900390625,8117.07666015625,7860.77685546875,7677.712890625,7943.38134765625,9050.384765625,8925.162109375,7697.77197265625,8952.3857421875,7620.369140625,7693.18701171875,9044.78515625,8194.119140625,7755.2265625
2018-04-13,7887.4,7863.8701171875,8098.34619140625,7763.869140625,9592.615234375,7593.00048828125,8262.205078125,8735.2099609375,8285.5703125,8059.8896484375,7746.18115234375,8063.34130859375,9097.533203125,8980.9541015625,7769.68798828125,9012.380859375,7692.47314453125,7765.8408203125,9157.5048828125,8366.8818359375,8041.7099609375
2018-04-14,8004.4,8010.6669921875,8231.4306640625,7875.8232421875,9706.818359375,7640.84814453125,8359.5634765625,8691.30078125,8453.884765625,8189.52734375,7795.626953125,8240.556640625,9133.419921875,8952.498046875,7819.1474609375,8986.90234375,7766.203125,7799.90380859375,9159.115234375,8538.57421875,8257.935546875
2018-04-15,8363.6,7956.25927734375,7999.9384765625,8431.609375,9218.0927734375,8344.701171875,7979.337890625,8899.1064453125,7959.6826171875,8201.2998046875,8330.2421875,8043.2626953125,9078.701171875,9012.923828125,8302.982421875,9179.9892578125,7969.923828125,8331.53125,9201.271484375,8165.9443359375,8096.36083984375
