Date,Price,Open,High,Low,Volume,Change,Trend,Seasonal,Residual,rsi,mfi,adi,vpt,atr,bb,MovingAverage30,MovingAverage50,MovingAverage100,MovingAverage200,VAR_Price,VAR_Open,VAR_High,VAR_Low,VAR_Change,Kalman
2017-01-01,995.4,963.4,1001.6,956.1,41.15,3.33,,225.2414221866094,,,0.0,40.71529152584384,-33.88648391915261,387.0106842737088,,,,,,-147.97219908340034,-5276.272531068981,-5444.506203831207,-5027.949836315897,3.106563319718915,622.9238499644713
2017-01-02,1017.0,995.4,1031.7,990.2,64.95,2.17,,305.03372987891754,,,61.89358639172783,48.872723421156934,-32.34399220102986,362.3313496827296,1036.747012947259,,,,,17.96308617509026,0.07032354446653244,14.961684537418478,-39.43275916932521,1.4808930400098284,967.5646603262105
2017-01-03,1033.3,1017.0,1035.5,1006.5,54.79,1.6,,284.6720632122508,,,75.06729932854685,65.41426339842096,2.287551730882412,338.5219675625346,1053.2566595073192,,,,,-15.050385580392806,0.03203202711358699,-3.5059523364097913,-47.47370313233773,0.8294075376466035,1033.8703891046753
2017-01-04,1135.4,1033.3,1148.5,1022.3,156.27,9.88,,299.94674269943005,,,87.89703689712915,170.30429280288547,16.31913076566084,323.35611273663926,1169.387355012169,,,,,95.0254372494411,0.015514701650772622,95.157650904928,-55.71351919498875,9.06052290107336,1103.387571451208
2017-01-05,989.3,1135.4,1150.6,874.5,240.01,-12.86,,304.35674269943036,,,51.08610924738819,83.4054365164327,-15.442812848525977,319.98067611259364,1152.6526275326648,,,,,101.91322488660794,0.2755087251612167,-16.374925279493482,-261.08420564674475,-12.850819279595589,992.6656380031957
2017-01-06,886.2,989.3,1027.4,852.5,194.29,-10.43,,71.60892218660987,,,38.96451145812393,-159.8396319809384,-51.13174722561175,309.61777067597984,1170.1398069635725,,,,,-34.30848679590659,-0.6505371893985057,-52.977700985992215,-158.9989526669001,-12.616572455250173,900.8932077725331
2017-01-07,888.9,886.2,900.9,806.7,130.66,0.31,,47.637319622507384,,,46.915759563200226,-22.0469821517664,-19.84986813337374,294.23078705626705,1164.9106060214049,,,,,-62.2678576619636,-0.50781619021609,-51.08717292348058,-111.36013344813193,-1.6701012036288905,891.847733826067
2017-01-08,900.9,888.9,936.1,875.8,76.91,1.35,,-31.414923967236454,,,50.85323135874916,84.48872188949093,1.4363559755604511,277.52144512367653,1153.2314190793381,,,,,-46.77059645723588,-0.08164464780486469,14.995146785580573,-62.25190452062691,0.4167035158369017,899.398843222168
2017-01-09,899.8,900.9,910.5,870.9,62.58,-0.12,,13.40174269943071,,,47.99055779421003,15.879409015528282,0.9618617651894721,260.52705618627107,1141.8941503991246,,,,,-18.20669714109094,-0.011435823948318102,-15.945651309250934,-64.15213605973668,-0.9942577961642611,898.498011213916
2017-01-10,904.4,899.8,911.3,890.1,53.71,0.51,,-2.3638983262108093,,,50.40850359381751,47.50934534019427,0.19816853887758512,243.43226645868026,1130.995093066871,,,,,-14.943651340735464,-0.061855794337134284,-10.85296162383952,-61.50826000648317,-0.49730279970291025,890.2666104791917
2017-01-11,785.4,904.4,917.7,751.6,194.44,-13.15,,-156.58223165954433,,,43.73136235570682,-96.55825048561346,-25.30963173102794,237.9085331402031,1139.8250506507031,,,,,132.9321121983187,-0.026217404689987234,-4.325951895199296,-205.12504241883641,-14.091494393387258,802.4601901070872
2017-01-12,810.1,785.4,828.2,739.5,120.24,3.14,,-176.1510137108262,,,47.867858095905866,-44.138098712624185,-21.802789594306613,227.25078077304573,1136.1834169074264,,,,,-74.51460008553038,-0.6177028734186933,-23.184001433784033,-96.15154671106245,0.8761568202803547,810.707512596183
2017-01-13,824.8,810.1,835.0,771.0,89.86,1.82,,-77.56735986467228,,,50.640104110274166,132.38510696166838,5.412012217035707,215.59001071782816,1129.0041321266144,,,,,-23.126933881125325,0.029875593188307903,-1.3744652920485123,-77.21450203983363,1.1392272331302746,822.3753045133697
